time,price
2025-01-03 04:00:00,0.160174
2025-01-03 05:00:00,0.16457
2025-01-03 06:00:00,0.170101
2025-01-03 07:00:00,0.188698
2025-01-03 08:00:00,0.235286
2025-01-03 09:00:00,0.234804
2025-01-03 10:00:00,0.285041
2025-01-03 11:00:00,0.271758
2025-01-03 12:00:00,0.259752
2025-01-03 13:00:00,0.251491
2025-01-03 14:00:00,0.185135
2025-01-03 15:00:00,0.185581
2025-01-03 16:00:00,0.212395
2025-01-03 17:00:00,0.238589
2025-01-03 18:00:00,0.30887
2025-01-03 19:00:00,0.31108
2025-01-03 20:00:00,0.316352
2025-01-03 21:00:00,0.310996
2025-01-03 22:00:00,0.239012
2025-01-03 23:00:00,0.254592
2025-01-04 00:00:00,0.172718
2025-01-04 01:00:00,0.16915
2025-01-04 02:00:00,0.167687
2025-01-04 03:00:00,0.165112
2025-01-04 04:00:00,0.163847
2025-01-04 05:00:00,0.171249
2025-01-04 06:00:00,0.179017
2025-01-04 07:00:00,0.181782
2025-01-04 08:00:00,0.187883
2025-01-04 09:00:00,0.19669
2025-01-04 10:00:00,0.178279
2025-01-04 11:00:00,0.157814
2025-01-04 12:00:00,0.134817
2025-01-04 13:00:00,0.137053
2025-01-04 14:00:00,0.142653
2025-01-04 15:00:00,0.156599
2025-01-04 16:00:00,0.186473
2025-01-04 17:00:00,0.205393
2025-01-04 18:00:00,0.210804
2025-01-04 19:00:00,0.204237
2025-01-04 20:00:00,0.195191
2025-01-04 21:00:00,0.186967
2025-01-04 22:00:00,0.201952
2025-01-04 23:00:00,0.172555
2025-01-05 00:00:00,0.167263
2025-01-05 01:00:00,0.138334
2025-01-05 02:00:00,0.13315
2025-01-05 03:00:00,0.11326
2025-01-05 04:00:00,0.109683
2025-01-05 05:00:00,0.102712
2025-01-05 06:00:00,0.10299
2025-01-05 07:00:00,0.112863
2025-01-05 08:00:00,0.11232
2025-01-05 09:00:00,0.17446
2025-01-05 10:00:00,0.124628
2025-01-05 11:00:00,0.096736
2025-01-05 12:00:00,0.09181
2025-01-05 13:00:00,0.080783
2025-01-05 14:00:00,0.075162
2025-01-05 15:00:00,0.075458
2025-01-05 16:00:00,0.110716
2025-01-05 17:00:00,0.113172
2025-01-05 18:00:00,0.11434
2025-01-05 19:00:00,0.114582
2025-01-05 20:00:00,0.111132
2025-01-05 21:00:00,0.124605
2025-01-05 22:00:00,0.110532
2025-01-05 23:00:00,0.088857
2025-01-06 00:00:00,0.069473
2025-01-06 01:00:00,0.067308
2025-01-06 02:00:00,0.061601
2025-01-06 03:00:00,0.063856
2025-01-06 04:00:00,0.065017
2025-01-06 05:00:00,0.063339
2025-01-06 06:00:00,0.069268
2025-01-06 07:00:00,0.102873
2025-01-06 08:00:00,0.121526
2025-01-06 09:00:00,0.125043
2025-01-06 10:00:00,0.096737
2025-01-06 11:00:00,0.084127
2025-01-06 12:00:00,0.073366
2025-01-06 13:00:00,0.063035
2025-01-06 14:00:00,0.063254
2025-01-06 15:00:00,0.054539
2025-01-06 16:00:00,0.099301
2025-01-06 17:00:00,0.124344
2025-01-06 18:00:00,0.151231
2025-01-06 19:00:00,0.167478
2025-01-06 20:00:00,0.177526
2025-01-06 21:00:00,0.184261
2025-01-06 22:00:00,0.168882
2025-01-06 23:00:00,0.15224
2025-01-07 00:00:00,
2025-01-07 01:00:00,
2025-01-07 02:00:00,
2025-01-07 03:00:00,
2025-01-07 04:00:00,
2025-01-07 05:00:00,
2025-01-07 06:00:00,
2025-01-07 07:00:00,
2025-01-07 08:00:00,
2025-01-07 09:00:00,
2025-01-07 10:00:00,
2025-01-07 11:00:00,
2025-01-07 12:00:00,
2025-01-07 13:00:00,
2025-01-07 14:00:00,
2025-01-07 15:00:00,
2025-01-07 16:00:00,
2025-01-07 17:00:00,
2025-01-07 18:00:00,
2025-01-07 19:00:00,
2025-01-07 20:00:00,
2025-01-07 21:00:00,
2025-01-07 22:00:00,
2025-01-07 23:00:00,
2025-01-08 00:00:00,0.118744
2025-01-08 01:00:00,0.113704
2025-01-08 02:00:00,0.101886
2025-01-08 03:00:00,0.093305
2025-01-08 04:00:00,0.101502
2025-01-08 05:00:00,0.114658
2025-01-08 06:00:00,0.14696
2025-01-08 07:00:00,0.177239
2025-01-08 08:00:00,0.213582
2025-01-08 09:00:00,0.207312
2025-01-08 10:00:00,0.246507
2025-01-08 11:00:00,0.241435
2025-01-08 12:00:00,0.233103
2025-01-08 13:00:00,0.22501
2025-01-08 14:00:00,0.157285
2025-01-08 15:00:00,0.159086
2025-01-08 16:00:00,0.178341
2025-01-08 17:00:00,0.188171
2025-01-08 18:00:00,0.264151
2025-01-08 19:00:00,0.27557
2025-01-08 20:00:00,0.268577
2025-01-08 21:00:00,0.254605
2025-01-08 22:00:00,0.188705
2025-01-08 23:00:00,0.173418
